region,arm,radius_km,regret_gbp,rho_pointwise,rho_aggregate,cost_mae_gbp
TLH1,PERM-R,20.0,9221143.815000013,0.3269823870129844,0.929517412379353,9109320.764717275
TLH1,PERM-3R,20.0,9757095.317422941,0.057934167735735384,0.6155859098964774,18923492.14431129
TLH1,SMOOTH-0.5,20.0,2975180.8974229395,0.9909779334236801,0.9891496887874222,5464973.686358285
TLH1,SMOOTH-1,20.0,8774516.077422932,0.44696660691602813,0.09534188833547208,45104009.31104711
TLH1,SMOOTH-2,20.0,8252410.937422946,0.6185845130645867,0.5151939687984922,59988475.71700638
TLH1,PERM-R/3,20.0,3185055.512422979,0.6612702482750492,0.9966872971718244,4867331.935022327
TLE3,REF,10.0,334387.3321533193,1.0,1.0,4498056.828750013
TLE3,LU,10.0,7302580.227172849,0.2250854979160903,0.6776102744025685,20379569.32424535
TLE3,GNN,10.0,3828686.086059568,0.25119028591792364,0.9560987225246806,10876931.748867583
TLE3,PERM-R,10.0,19631787.345947266,0.6272385435843248,0.9589549677387419,11477400.698316716
TLE3,PERM-3R,10.0,19631787.345947266,0.07973356784471977,0.588028908007227,21206679.615052395
TLE3,SMOOTH-0.5,10.0,11269285.090820309,0.8446043275759185,0.8052325218081305,24290751.150670737
TLE3,SMOOTH-1,10.0,15740141.102905273,0.9586803752572719,0.9105663236415807,14351145.842382044
TLE3,SMOOTH-2,10.0,30883903.264282227,0.6253793219852627,0.427507104376776,33148896.477835633
TLE3,PERM-R/3,10.0,334387.3321533193,0.8225615136924838,0.9981713390428347,5357808.925945668
TLE3,REF,20.0,0.0,1.0,1.0,1342323.2048890938
TLE3,LU,20.0,0.0,0.2250854979160903,0.9192169383042347,6767960.246677733
TLE3,GNN,20.0,0.0,0.25119028591792364,0.9935730833932709,3698197.146928808
TLE3,PERM-R,20.0,0.0,0.4276327463615466,0.8964077076019269,11840810.664135562
TLE3,PERM-3R,20.0,0.0,0.03837198875372366,0.8980833415208355,14242234.649253322
TLE3,SMOOTH-0.5,20.0,0.0,0.9623341732186055,0.9864513531128382,5017348.930392873
TLE3,SMOOTH-1,20.0,0.0,0.9550339969723604,0.9826088276522068,3045466.052451798
TLE3,SMOOTH-2,20.0,0.0,0.4183652051638195,0.3231783492945873,25081873.43497458
TLE3,PERM-R/3,20.0,0.0,0.6976973657303465,0.9961937580484393,3312349.8888372746
TLD3,REF,10.0,1822501.8648572713,0.9999999999999999,1.0,3126391.2097401205
TLD3,LU,10.0,0.0,0.39251473299739614,0.9720578400144598,9638273.6722895
TLD3,GNN,10.0,0.0,0.43067418059374285,0.9922011530502882,5683179.121913608
TLD3,PERM-R,10.0,655716.1219338077,0.47771177594938435,0.9804681966170492,8759585.92906586
TLD3,PERM-3R,10.0,6818528.211755003,0.1181770422455744,0.8996314289078572,17204112.47610356
TLD3,SMOOTH-0.5,10.0,4568727.1804467905,0.9753330437502092,0.9860812190203047,6271337.267376866
TLD3,SMOOTH-1,10.0,68671.40365705456,0.7509697528787435,0.7968740742185185,29795795.90318663
TLD3,SMOOTH-2,10.0,29094021.967772342,0.3189052028051185,0.4189724277431069,66738602.95009039
TLD3,PERM-R/3,10.0,406659.97845591453,0.7213814812006515,0.9994801343700337,3535266.8871752303
TLD3,REF,20.0,0.0,0.9999999999999999,1.0,379393.70174233505
TLD3,LU,20.0,0.0,0.39251473299739614,0.9900114660028664,668956.7575394466
TLD3,GNN,20.0,0.0,0.43067418059374285,0.9954781993695498,402843.5622527647
TLD3,PERM-R,20.0,0.0,0.39966815688250795,0.990149971537493,1346707.1066879074
TLD3,PERM-3R,20.0,0.0,0.10122357758066095,0.9889211757302938,4408562.713322937
TLD3,SMOOTH-0.5,20.0,0.0,0.995248742737012,0.9984971616242904,343381.01868583035
TLD3,SMOOTH-1,20.0,0.0,0.8466808638149432,0.9131294342823585,8998276.43839868
TLD3,SMOOTH-2,20.0,0.0,0.9727681947600328,0.9817562019390504,917538.4985159468
TLD3,PERM-R/3,20.0,0.0,0.5652886169949147,0.9981956090489023,553231.0244786771
TLD4,REF,10.0,13143.922641083598,0.9999999999999999,1.0,5459429.973858691
TLD4,LU,10.0,26840996.676919565,0.1656092808997677,0.6746190291547572,19498214.985713612
TLD4,GNN,10.0,7095004.778634734,0.33770704760603404,0.9390338092584523,11239642.652099503
TLD4,PERM-R,10.0,1410961.3275243565,0.6456891025796198,0.9757258884314721,9656348.414915368
TLD4,PERM-3R,10.0,14376935.58370851,0.39180777587923027,0.825452907863227,16820765.88838196
TLD4,SMOOTH-0.5,10.0,1312180.5121449009,0.9642679555225993,0.960552772638193,10714856.038556337
TLD4,SMOOTH-1,10.0,27187041.110859886,0.9223982752097162,0.9294099448524861,15057803.70268648
TLD4,SMOOTH-2,10.0,38665087.005162515,0.6803536230459233,0.47603438300859574,31807840.538300034
TLD4,PERM-R/3,10.0,85831.12023363262,0.8632902325744669,0.999229244307311,5901680.025876856
TLD4,REF,20.0,2132391.1861679666,0.9999999999999999,1.0,3458801.102377452
TLD4,LU,20.0,17896193.51253974,0.1656092808997677,0.7903946680986671,18661433.65051209
TLD4,GNN,20.0,12324939.116671499,0.33770704760603404,0.9796641169160294,6371538.292399587
TLD4,PERM-R,20.0,2517284.567497755,0.37592918206435877,0.9688007992001998,10555649.258188318
TLD4,PERM-3R,20.0,4380643.830248696,0.03597308685048402,0.6295685908921477,25765965.348224428
TLD4,SMOOTH-0.5,20.0,0.0,0.9841435462683747,0.9777285734321434,7277932.425434693
TLD4,SMOOTH-1,20.0,25394116.210516326,0.9135429169986383,0.6951908352977088,24412910.020743072
TLD4,SMOOTH-2,20.0,36809230.97726762,0.8508288660093866,0.767329684332421,27200138.32877032
TLD4,PERM-R/3,20.0,2229208.361725883,0.7347901525664491,0.9967746286936573,4963864.748296083
