region,mode,method,weight_source,solver,eval_weight,k,WSD,LWFL,LBI,DCR_1km,DCR_2km,DCR_5km,D_region_mva,low_conf_frac,match_dist_median_km,n_matched,TUR_mean,TUR_median,TUR_aggregate,CE_mean,CE_median,OPR,UPR,RSD_mean,RSD_median,FCE_mean,FCE_median,TUR_actual_observed,collision_rate_many_to_one
TLH3,a1a,GNN-oof-456,gnn_oof_456,greedy,SIZING_1TO1,97,,,,,,,1126.53606,0.07216494845360824,2.7362970928911277,90.0,80.42579298450612,60.644784990505016,64.94881642411218,98.45621302478479,71.13529082563502,0.35555555555555557,0.18888888888888888,52.220476723634356,39.20222923976523,85.68596502791368,56.13139838362541,93.21,0.1958762886597938
TLJ1,a1a,Uni,uniform,greedy,real,153,2.4742408035713668,2.4742408035713668,1.0939499775989439,0.10823439111174821,0.4012631573571527,0.9720793271695465,,,,,,,,,,,,,,,,,
TLJ1,a1a,Uni,uniform,greedy,uniform,153,2.4420055063086568,2.442005506308657,0.272395287801612,0.10680067067895008,0.40140442762070333,0.9748560974449907,,,,,,,,,,,,,,,,,
TLJ1,a1a,Uni,uniform,greedy,gpm,153,2.4418857221096117,2.4418857221096117,0.3249776445295843,0.10770187310020374,0.4057491689234852,0.9742547630858912,,,,,,,,,,,,,,,,,
TLJ1,a1a,Uni,uniform,greedy,gpm_soft,153,2.412652262772393,2.412652262772393,0.6180145055501386,0.11505199730349705,0.41637897241131605,0.9752594544167419,,,,,,,,,,,,,,,,,
TLJ1,a1a,Uni,uniform,greedy,SIZING,153,,,,,,,2110.2814967889685,0.006535947712418301,2.8548525160577922,152.0,64.76852039837881,56.30943930392273,59.835428600425445,149.48354412444218,77.63748712292902,0.4473684210526316,0.13815789473684212,84.09595899782362,43.21868478940236,86.7880404044612,41.04123448190933,67.6916652694233,
TLJ1,a1a,Uni,uniform,greedy,SIZING_1TO1,153,,,,,,,2110.2814967889685,0.32679738562091504,5.195259606072496,102.0,71.92675235913153,64.62648017303333,68.14916665409237,140.7126223749116,60.981159394928,0.3333333333333333,0.19607843137254902,82.32829592109952,35.85857901815852,72.62813882305288,37.445117945700844,66.76143509300482,0.3333333333333333
TLJ1,a1a,LU,gpm,greedy,real,153,2.396654398117527,2.396654398117527,1.0547677967590348,0.11745743944291563,0.42729592729156307,0.9796062419084066,,,,,,,,,,,,,,,,,
TLJ1,a1a,LU,gpm,greedy,uniform,153,2.45690581050802,2.4569058105080206,0.2759407884201531,0.10845194308437733,0.3971459018820362,0.9752981440447598,,,,,,,,,,,,,,,,,
TLJ1,a1a,LU,gpm,greedy,gpm,153,2.3461210650879285,2.3461210650879285,0.22239432548627608,0.13667600463032611,0.439513436670849,0.9768822922498357,,,,,,,,,,,,,,,,,
TLJ1,a1a,LU,gpm,greedy,gpm_soft,153,2.3690320679752452,2.3690320679752452,0.5719832721391117,0.13664859302930743,0.43333661333747897,0.9763726450653809,,,,,,,,,,,,,,,,,
TLJ1,a1a,LU,gpm,greedy,SIZING,153,,,,,,,2110.2814967889685,0.006535947712418301,2.7966142391874724,151.0,66.81312057399455,55.640068490691974,63.674943898183336,139.87140068101033,79.72659400433518,0.44370860927152317,0.17880794701986755,77.14302272197743,44.45524440217612,70.6841330180429,45.71421188063849,67.6916652694233,
TLJ1,a1a,LU,gpm,greedy,SIZING_1TO1,153,,,,,,,2110.2814967889685,0.3464052287581699,5.105352593027478,99.0,73.92776959592139,64.00435477731551,71.10179208065516,123.50139424904285,56.65871432021349,0.35353535353535354,0.2222222222222222,72.4286610735811,42.043674197514235,67.54460379600586,39.87356614007197,65.02095140727138,0.3333333333333333
TLJ1,a1a,LU-soft,gpm_soft,greedy,real,153,2.2787627186090504,2.2787627186090504,0.8186639564340915,0.13576766062594242,0.46481255727654586,0.9780352429456148,,,,,,,,,,,,,,,,,
TLJ1,a1a,LU-soft,gpm_soft,greedy,uniform,153,2.6134238270881243,2.6134238270881247,0.5265685939756964,0.10028183281395603,0.35911335614998685,0.9510478066690137,,,,,,,,,,,,,,,,,
TLJ1,a1a,LU-soft,gpm_soft,greedy,gpm,153,2.5683948859708834,2.5683948859708834,0.5043597478686261,0.11871047770712595,0.37920050893749113,0.9491997486861964,,,,,,,,,,,,,,,,,
TLJ1,a1a,LU-soft,gpm_soft,greedy,gpm_soft,153,2.0469492337428425,2.0469492337428425,0.2855686288941238,0.21262754488196128,0.5414957922436827,0.9861816767829409,,,,,,,,,,,,,,,,,
TLJ1,a1a,LU-soft,gpm_soft,greedy,SIZING,153,,,,,,,2110.2814967889685,0.006535947712418301,2.2791617275053606,151.0,74.1691233833348,67.53466694068001,70.03561185334691,117.7993802800848,50.52367547048201,0.2980132450331126,0.19205298013245034,68.06902298654168,31.921434224064548,64.94743583329574,36.65014717578368,67.42544880173224,
TLJ1,a1a,LU-soft,gpm_soft,greedy,SIZING_1TO1,153,,,,,,,2110.2814967889685,0.13071895424836602,3.3850634547114535,132.0,70.45893309181922,60.738668926039054,67.20729569414247,121.37635918000726,64.6397851314587,0.3560606060606061,0.18181818181818182,69.20537462576985,35.48726401222956,69.91712667595124,43.241011122829086,66.88691197797334,0.2875816993464052
TLJ1,a1a,GNN-oof-42,gnn_oof_42,greedy,real,153,2.2687468600435916,2.2687468600435916,0.615842463874656,0.15966602925783463,0.4930713627285283,0.9580982105839388,,,,,,,,,,,,,,,,,
TLJ1,a1a,GNN-oof-42,gnn_oof_42,greedy,uniform,153,2.816542106550818,2.8165421065508185,0.6444872986878057,0.09587092356756372,0.3351804924844132,0.9130942967328193,,,,,,,,,,,,,,,,,
TLJ1,a1a,GNN-oof-42,gnn_oof_42,greedy,gpm,153,2.718538980045569,2.718538980045569,0.5924788010735735,0.1167461831566978,0.3645648149056955,0.9211324547310062,,,,,,,,,,,,,,,,,
