region,arm,radius_km,dc_mw,cost_mae_gbp
TLF2,LU,10.0,500.0,16742636.379740387
TLF2,LU-soft,10.0,500.0,17720328.219689984
TLF2,Ref,10.0,500.0,6095022.934088654
TLF2,GNN-oof-42,10.0,500.0,9327798.986205924
TLF2,GNN-oof-123,10.0,500.0,9406762.520608217
TLF2,GNN-oof-456,10.0,500.0,9026859.493793452
TLF2,Uni,20.0,100.0,11179941.593218166
TLF2,LU,20.0,100.0,11643223.09218587
TLF2,LU-soft,20.0,100.0,9647258.984548451
TLF2,Ref,20.0,100.0,2096972.752259997
TLF2,GNN-oof-42,20.0,100.0,5160166.8498480255
TLF2,GNN-oof-123,20.0,100.0,5346662.968172779
TLF2,GNN-oof-456,20.0,100.0,5644220.819869593
TLF2,Uni,20.0,300.0,25455969.67149417
TLF2,LU,20.0,300.0,26142519.77960187
TLF2,LU-soft,20.0,300.0,24161576.698454883
TLF2,Ref,20.0,300.0,7811747.271140048
TLF2,GNN-oof-42,20.0,300.0,14123266.854832474
TLF2,GNN-oof-123,20.0,300.0,14175121.61990071
TLF2,GNN-oof-456,20.0,300.0,14038677.284834744
TLF2,Uni,20.0,500.0,31781458.15853434
TLF2,LU,20.0,500.0,32578318.483798567
TLF2,LU-soft,20.0,500.0,31238794.219677135
TLF2,Ref,20.0,500.0,8234725.041236702
TLF2,GNN-oof-42,20.0,500.0,16522265.08342654
TLF2,GNN-oof-123,20.0,500.0,17069978.65117771
TLF2,GNN-oof-456,20.0,500.0,16749978.500101589
TLC2,Uni,5.0,100.0,2796332.2025197106
TLC2,LU,5.0,100.0,2611796.1668682955
TLC2,LU-soft,5.0,100.0,2437378.2664137916
TLC2,Ref,5.0,100.0,1614319.7641362834
TLC2,GNN-oof-42,5.0,100.0,2135212.505920876
TLC2,GNN-oof-123,5.0,100.0,2312751.762655489
TLC2,GNN-oof-456,5.0,100.0,2055657.6716545268
TLC2,Uni,5.0,300.0,3735551.7722279117
TLC2,LU,5.0,300.0,3374190.238975362
TLC2,LU-soft,5.0,300.0,3113719.8946543154
TLC2,Ref,5.0,300.0,1871065.1464291518
TLC2,GNN-oof-42,5.0,300.0,2749627.513343697
TLC2,GNN-oof-123,5.0,300.0,2950199.609598953
TLC2,GNN-oof-456,5.0,300.0,2625170.278891749
TLC2,Uni,5.0,500.0,3858491.322550878
TLC2,LU,5.0,500.0,3416713.3798983004
TLC2,LU-soft,5.0,500.0,3157505.668502264
TLC2,Ref,5.0,500.0,1871065.1464291518
TLC2,GNN-oof-42,5.0,500.0,2756739.504063506
TLC2,GNN-oof-123,5.0,500.0,2962531.5561836693
TLC2,GNN-oof-456,5.0,500.0,2626770.341630668
TLC2,Uni,10.0,100.0,5499068.104265806
TLC2,LU,10.0,100.0,4868074.522704447
TLC2,LU-soft,10.0,100.0,4329928.824679574
TLC2,Ref,10.0,100.0,2841824.6048696893
TLC2,GNN-oof-42,10.0,100.0,3659043.074520339
TLC2,GNN-oof-123,10.0,100.0,4192129.3530956833
TLC2,GNN-oof-456,10.0,100.0,3373424.0345040457
TLC2,Uni,10.0,300.0,7156694.714916848
TLC2,LU,10.0,300.0,6629027.948236928
TLC2,LU-soft,10.0,300.0,5986418.696354957
TLC2,Ref,10.0,300.0,3476049.1090609776
TLC2,GNN-oof-42,10.0,300.0,5064484.082601656
TLC2,GNN-oof-123,10.0,300.0,5735559.618709126
TLC2,GNN-oof-456,10.0,300.0,4730593.726202247
TLC2,Uni,10.0,500.0,8768729.142502
TLC2,LU,10.0,500.0,7919920.858175518
