arm,region,seed,in_sample,corr,rmse,mae
GNNpostN,London,42.0,False,0.5379210895812084,16.345302174259842,11.102310448192123
GNNaddN,London,42.0,False,0.5869389146933521,16.669837736543368,11.845138129041437
GNNpostP,London,42.0,False,0.5882276439288421,15.096176727886055,10.37121844936751
GNNaddP,London,42.0,False,0.6374590254257888,14.062326274803215,9.568369917340236
GNNpostNP,London,42.0,False,0.6036063471769487,14.908110171096732,10.197261801460403
GNNaddNP,London,42.0,False,0.6382189669534578,14.215743059405408,9.871428354228941
MLPpostN,London,42.0,False,0.44951749784928413,21.81740691605426,13.795910280784662
MLPaddN,London,42.0,False,0.5703463222612414,18.323177566593102,13.100668994466114
MLPpostP,London,42.0,False,0.48126465786199213,20.655143753925962,13.257450472942743
MLPaddP,London,42.0,False,0.6112499686017637,14.69003697773739,10.132435418438254
MLPpostNP,London,42.0,False,0.5014672379335472,20.194799509049787,13.162492890142905
MLPaddNP,London,42.0,False,0.6202873651075645,14.85107685350589,10.539422448233555
GNN,TLH2,42.0,False,0.44179673677611864,6.579864351187832,5.079048055026433
GNNonehot,TLH2,42.0,False,0.38645869316924464,6.744173772509286,5.316977470446979
GNNfusion,TLH2,42.0,False,0.3858298832154734,12.405668764312678,9.565828106790727
GNNpriorN,TLH2,42.0,False,0.44018593757461827,7.687997973561268,6.001055302502297
GNNpriorP,TLH2,42.0,False,0.4413463740295529,7.837987504230737,6.095212146740384
GNNpriorNP,TLH2,42.0,False,0.367385032999404,8.034566955374647,6.182341905988544
MLP,TLH2,42.0,False,0.29545054711622043,13.299666848177324,7.477815380462727
MLPfusion,TLH2,42.0,False,0.17513206035604575,19.135457615197662,9.161323601440298
MLPpriorN,TLH2,42.0,False,0.4023940627686994,8.788040613166094,6.7643742037356684
MLPpriorP,TLH2,42.0,False,0.43143997442313614,8.340056429694625,6.400811721430511
MLPpriorNP,TLH2,42.0,False,0.2997497698788292,11.629317784069524,6.873611457767334
GNNpostN,TLH2,42.0,False,0.498436067879233,7.592635610692606,5.6121358997878215
GNNaddN,TLH2,42.0,False,0.45372075321879984,8.130540758874202,6.385180638485121
GNNpostP,TLH2,42.0,False,0.34564312667347774,8.069953376276183,5.870141541963628
GNNaddP,TLH2,42.0,False,0.4221761178362637,5.592767533689717,4.287282089488153
GNNpostNP,TLH2,42.0,False,0.35955806726149875,10.274739545322262,6.816599953973261
GNNaddNP,TLH2,42.0,False,0.4102949322579491,6.787616002104616,5.254986811833909
MLPpostN,TLH2,42.0,False,0.41713411129275757,11.851039318617484,7.920276894515351
MLPaddN,TLH2,42.0,False,0.4426909322863685,8.436056562400841,6.763873015449894
MLPpostP,TLH2,42.0,False,0.21042011715840572,17.4742686536247,8.459533838299059
MLPaddP,TLH2,42.0,False,0.3292707306578986,5.793121937607291,4.3492588796931315
MLPpostNP,TLH2,42.0,False,0.300629176896227,14.987864802881532,8.87994217713704
MLPaddNP,TLH2,42.0,False,0.3828393172390058,6.929876755456852,5.196493525050801
