country,region,arm,radius_km,dc_mw,eta,e_budget_mva,eps_max_mva,budget_realised,L_E,L_E_bound,L_S,L_S_bound,slack_E,slack_S,valid_E,valid_S
uk,London,Ref,20.0,100.0,1.0,811.3756221857578,183.33371548624905,True,0.0,24178764.92181849,0.0,7318196.546767056,24178764.92181849,7318196.546767056,True,True
uk,London,Ref,20.0,300.0,1.0,811.3756221857578,183.33371548624905,True,184548.487983164,39504978.16145843,0.0,25647801.545179784,39320429.673475266,25647801.545179784,True,True
uk,London,Ref,20.0,500.0,1.0,811.3756221857578,183.33371548624905,True,844762.862277876,54203772.518793225,0.0,54800365.63465965,53359009.65651535,54800365.63465965,True,True
uk,London,GNN-oof-42,20.0,100.0,0.5,511.53438097186694,471.6101632315672,True,56503.05073325127,11419872.20144341,0.0,0.0,11363369.150710158,0.0,True,True
uk,London,GNN-oof-42,20.0,300.0,0.5,511.53438097186694,471.6101632315672,True,1101798.9580205095,21192263.958219524,0.0,2480811.616418616,20090465.000199016,2480811.616418616,True,True
uk,London,GNN-oof-42,20.0,500.0,0.5,511.53438097186694,471.6101632315672,True,3398349.208136615,31101143.94689872,0.0,18378307.52156694,27702794.738762107,18378307.52156694,True,True
uk,London,GNN-oof-42,20.0,100.0,0.8,672.6844638213146,471.6101632315672,True,56503.05073325127,20083140.55778315,0.0,810265.1789448627,20026637.5070499,810265.1789448627,True,True
uk,London,GNN-oof-42,20.0,300.0,0.8,672.6844638213146,471.6101632315672,True,1101798.9580205095,33213895.757422127,0.0,15037214.646619434,32112096.79940162,15037214.646619434,True,True
uk,London,GNN-oof-42,20.0,500.0,0.8,672.6844638213146,471.6101632315672,True,3398349.208136615,44951101.10320106,0.0,34906162.857044905,41552751.89506444,34906162.857044905,True,True
uk,London,GNN-oof-42,20.0,100.0,0.9,711.6257664086271,471.6101632315672,True,56503.05073325127,22561060.143836923,0.0,2484741.1901993,22504557.093103673,2484741.1901993,True,True
uk,London,GNN-oof-42,20.0,300.0,0.9,711.6257664086271,471.6101632315672,True,1101798.9580205095,36350225.84911743,0.0,18386166.669128314,35248426.89109692,18386166.669128314,True,True
