signal,seed,location,fold,source_idx,itl3,n_edges,n_off,off_frac,aux_mass_v_sum,valid,G_all,G_off,ratio_off,min_w,n_w_below_floor,n_off_gradient_gated,max_t_off
ntl,42,TLF2,fold1,0,TLF21,767,311,0.40547588005215124,1307.865754677804,True,975.5470822475712,0.9341409948121637,0.0009575560337487642,4.963307560501562e-07,0,0,1e-08
ntl,42,TLF2,fold1,1,TLF22,25882,23792,0.9192488988486207,4203.76303299813,True,6470.066519898931,1407.1623412192855,0.2174880794334193,8.086341374280437e-09,11485,11485,1e-08
ntl,42,TLF2,fold1,2,TLF24,14131,13055,0.9238553534781686,2263.5185813511234,True,10162.882405057724,7790.641219080987,0.7665779164387307,9.93673410221163e-09,91,91,1e-08
ntl,42,TLF2,fold1,3,TLF25,10180,9274,0.9110019646365423,2051.545059804636,True,3498.0166909634468,1466.1894270398707,0.41914877960060365,2.948127431068315e-08,0,0,1e-08
prox,42,TLF2,fold1,0,TLF21,767,311,0.40547588005215124,1067.289376865179,True,999.7678716914576,0.9341409948121637,0.000934357885727751,4.963307560501562e-07,0,0,1e-08
prox,42,TLF2,fold1,1,TLF22,25882,23792,0.9192488988486207,3838.100500619802,True,6917.001929228308,1407.1623412192855,0.20343529691284545,8.086341374280437e-09,11485,11485,1e-08
prox,42,TLF2,fold1,2,TLF24,14131,13055,0.9238553534781686,2033.2142350085896,True,10400.246327058856,7790.641219080987,0.7490823749829535,9.93673410221163e-09,91,91,1e-08
prox,42,TLF2,fold1,3,TLF25,10180,9274,0.9110019646365423,1668.621558651646,True,3632.3856052142633,1466.1894270398707,0.40364366187751827,2.948127431068315e-08,0,0,1e-08
ntl,42,TLC1,fold4,0,TLC11,5031,3661,0.7276883323394951,3699.21433688072,True,2834.814726529588,63.968709152925804,0.022565393270422656,4.147416632349632e-09,505,505,1e-08
ntl,42,TLC1,fold4,1,TLC12,5033,3862,0.7673355851380886,3363.987053679849,True,4802.376098568154,2019.5656460724513,0.4205346696345986,1.0746284750950963e-08,0,0,1e-08
ntl,42,TLC1,fold4,2,TLC13,3324,2897,0.8715403128760529,950.1740901026101,True,1860.0751127114677,895.6957346838209,0.4815374005935426,1.517903314152136e-08,0,0,1e-08
ntl,42,TLC1,fold4,3,TLC14,37811,35899,0.9494327047684537,3636.0633786232315,True,7654.0123005095675,834.8019700649056,0.10906723654067403,2.8933844209433346e-09,17326,17326,1e-08
prox,42,TLC1,fold4,0,TLC11,5031,3661,0.7276883323394951,2268.763187164491,True,3031.3019084067787,63.968709152925804,0.021102717936316382,4.147416632349632e-09,505,505,1e-08
prox,42,TLC1,fold4,1,TLC12,5033,3862,0.7673355851380886,1847.267504909638,True,5019.807589123738,2019.5656460724513,0.40231933400160236,1.0746284750950963e-08,0,0,1e-08
prox,42,TLC1,fold4,2,TLC13,3324,2897,0.8715403128760529,749.1105514339837,True,1943.5780626373694,895.6957346838209,0.46084886010104076,1.517903314152136e-08,0,0,1e-08
